company,productname,type,package,volumeml,country,boycott,certificate,barcode
롯데칠성음료(주),델몬트 매실,주스,패트,1500,대한민국,NOT,,8801056022242
롯데칠성음료(주),델몬트 팜앤홈 망고,주스,패트,1200,대한민국,NOT,,8801056237851
롯데칠성음료(주),델몬트 팜앤홈 망고,주스,패트,1200,대한민국,NOT,,8801056089061
롯데칠성음료(주),델몬트 팜앤홈 제주감귤,주스,패트,1200,대한민국,NOT,,8801056098117
롯데칠성음료(주),제주사랑 감귤사랑,주스,패트,1800,대한민국,NOT,,8801056064112
(주)웅진식품,복숭아농장,주스,패트,1500,대한민국,NOT,,8801861150062
(주)웅진식품,사과농장,주스,패트,1500,대한민국,NOT,,8801861220604
(주)웅진식품,자연은 망고,주스,패트,1500,대한민국,NOT,,8801382137900
(주)웅진식품,토마토농장,주스,패트,1500,대한민국,NOT,,8801382150190
(주)웅진식품,제주당근농장,주스,패트,1500,대한민국,NOT,,8801861130118
(주)웅진식품,초록매실,주스,패트,1500,대한민국,NOT,,8801382149699
(주)웅진식품,자연은 샤인머스캣,주스,패트,1500,대한민국,NOT,,8801382149286
(주)웅진식품,자연은 배,주스,패트,1500,대한민국,NOT,,8801382144236
(주)웅진식품,정성담은 사과,주스,패트,1000,대한민국,NOT,,8801382146940
해태htb(주),갈아만든 배,주스,패트,1000,대한민국,NOT,,8801105915068
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 요거트맛,주스,패트,320,태국,NOT,할랄,8850389109229
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 레몬맛,주스,패트,320,태국,NOT,할랄,8850389109236
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 포도맛,주스,패트,320,태국,NOT,할랄,8850389106235
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 딸기맛,주스,패트,320,태국,NOT,할랄,8850389100691
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 자몽맛,주스,패트,320,태국,NOT,할랄,8850389115237
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 파인애플맛,주스,패트,320,태국,NOT,할랄,8850389106259
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 망고맛,주스,패트,320,태국,NOT,할랄,8850389100769
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 사과맛,주스,패트,320,태국,NOT,할랄,8850389105399
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 리치맛,주스,패트,320,태국,NOT,할랄,88500389106211
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 복숭아맛,주스,패트,320,태국,NOT,할랄,8850389106280
"SAPPE PUBLIC COMPANY LIMITED, (주)위스트",모구모구 복숭아맛,주스,패트,1000,태국,NOT,할랄,8850389116357
(주)테일러팜스,테일러 푸룬주스,주스,패트,1890,대한민국,NOT,,8809170543100
"OCEAN SPRAY CRANBARRIES INC., (주)동서",오션스프레이 루비 레드 자몽 드링크,주스,패트,1890,미국,나라,,31200016300
"OCEAN SPRAY CRANBARRIES INC., (주)동서",오션스프레이 크랜베리 클래식,주스,패트,1890,미국,나라,,31200016294
"홈플러스(주), (주)자임 에프앤비",물 한방울 섞지 않은 ABC주스,주스,유리,1000,대한민국,NOT,,8809396444250
"홈플러스(주), (주)자임 에프앤비",물 한방울 섞지 않은 석류,주스,유리,1000,대한민국,NOT,,8809396444267
"홈플러스(주), (주)자임 에프앤비",물 한방울 섞지 않은 사과앤당근,주스,유리,1000,대한민국,NOT,,8809396444281
"홈플러스(주), (주)자임 에프앤비",물 한방울 섞지 않은 블루베리앤포도,주스,유리,1000,대한민국,NOT,,8809396444274
"CHABAA BANGKOK CO. LTD., (주)나투라스",차바 발렌시아오렌지주스,주스,종이팩,1000,태국,NOT,,8854761240111
J.GARCIA CARRION(JGC),DON SIMON MANZANA,주스,종이팩,1000,스페인,NOT,,8410261611112
J.GARCIA CARRION(JGC),DON SIMON UVA MOSCATEL,주스,종이팩,1000,스페인,NOT,,8410261611020
J.GARCIA CARRION(JGC),DON SIMON ORANGE JUICE,주스,종이팩,1000,스페인,NOT,,8410261608112
TIPCO F&B CO. LTD.,팁코 쇼군 오렌지 주스,주스,종이팩,1000,태국,NOT,할랄,8851013791490
TIPCO F&B CO. LTD.,팁코 코코넛워터,주스,종이팩,1000,태국,NOT,할랄,8851013764494
TAVEEPHOL PRODUCT CO. LTD.,쿠쿠루 리치맛,주스,패트,280,태국,NOT,,8850624230824
TAVEEPHOL PRODUCT CO. LTD.,쿠쿠루 복숭아맛,주스,패트,280,태국,NOT,,8850624230909
TAVEEPHOL PRODUCT CO. LTD.,쿠쿠루 요거트맛,주스,패트,280,태국,NOT,,8850624230787
ROYAL PLUS PUBLIC COMPANY LIMITED,웰 바질시드 드링크 망고향,주스,유리,290,태국,NOT,,8850534108534
ROYAL PLUS PUBLIC COMPANY LIMITED,웰 바질시드 드링크 리치향,주스,유리,290,태국,NOT,,8850534108527
HC(THAILAND) CO. LTD.,미스터초이스 코코넛밀크 오리지널 위드 나타데코코,주스,유리,290,태국,NOT,,8859032700646
HC(THAILAND) CO. LTD.,미스터초이스 코코넛밀크 바나나향 위드 나타데코코,주스,유리,290,태국,NOT,,8859032700639
HC(THAILAND) CO. LTD.,미스터초이스 코코넛워터 위드 펄프,주스,유리,290,태국,NOT,,8859032700622
(주)웅진식품,알로에농장,혼합음료,패트,1500,대한민국,NOT,,8801382150183
(주)웅진식품,가야 농장에서 온 알로에,혼합음료,패트,1000,대한민국,NOT,,8801382147251
(주)웅진식품,가야농장에서온청포도,혼합음료,패트,1000,대한민국,NOT,,8801382150121
해태htb(주),Sunkist 머스캣,혼합음료,패트,1500,대한민국,NOT,,8801105908657
해태htb(주),코코팜 포도,혼합음료,패트,1000,대한민국,NOT,,8801105915082
해태htb(주),코코팜 피치 핑크 복숭아,혼합음료,패트,1500,대한민국,NOT,,8801105914221
오케이에프음료(주),알로에베라킹 제로,혼합음료,패트,500,대한민국,NOT,,8809041427065
오케이에프음료(주),알로에베라킹 제로,혼합음료,패트,1500,대한민국,NOT,,8809041427140
"한국코카콜라(유), 코카-콜라음료(주), (주)삼양패키징광혜원공장",토레타!,혼합음료,패트,500,대한민국,회사,,8801094412005
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",토레타!,혼합음료,패트,900,대한민국,회사,,8801094412708
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",토레타!,혼합음료,패트,1500,대한민국,회사,,8801094412906
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",파워에이드 마운틴블라스트,스포츠 음료,캔,340,대한민국,회사,,8801094363208
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",파워에이드 마운틴블라스트,스포츠 음료,패트,600,대한민국,회사,,8801094362706
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",파워에이드 마운틴블라스트,스포츠 음료,패트,900,대한민국,회사,,8801094362805
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",파워에이드 마운틴블라스트,스포츠 음료,패트,1500,대한민국,회사,,8801094362409
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",파워에이드 제로,스포츠 음료,패트,600,대한민국,회사,,8801094212728
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",파워에이드 제로,스포츠 음료,패트,1500,대한민국,회사,,8801094212414
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",파워에이드 메가볼츠,스포츠 음료,패트,1500,대한민국,회사,,8801094742508
"롯데칠성음료(주),펩시코(주)",게토레이 블루볼트,혼합음료,패트,600,대한민국,NOT,,8801056052218
"롯데칠성음료(주),펩시코(주)",게토레이 블루볼트,혼합음료,패트,1500,대한민국,NOT,,8801056052188
"롯데칠성음료(주),펩시코(주)",게토레이 레몬 플라워,혼합음료,패트,600,대한민국,NOT,,8801056049201
"롯데칠성음료(주),펩시코(주)",게토레이 레몬 플라워,혼합음료,패트,1500,대한민국,NOT,,8801056839017
"롯데칠성음료(주),펩시코(주)",게토레이 퍼플 플래시,혼합음료,패트,1500,대한민국,NOT,,8801056235321
롯데칠성음료(주),2% 부족할때 복숭아,비타민워터,캔,240,대한민국,NOT,,8801056002701
롯데칠성음료(주),2% 부족할때 복숭아,비타민워터,패트,1500,대한민국,NOT,,8801056002749
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",몬스터 에너지,에너지음료,캔,355,대한민국,회사,,4897036691007
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",몬스터 에너지 제로 슈거,에너지음료,캔,355,대한민국,회사,,4897036693728
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",몬스터 에너지 울트라,에너지음료,캔,355,대한민국,회사,,4897036691120
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",몬스터 에너지 망고 로코,에너지음료,캔,355,대한민국,회사,,4897036693339
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",몬스터 에너지 파이프라인펀치,에너지음료,캔,355,대한민국,회사,,4897036692424
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",몬스터 에너지 울트라 시트라,에너지음료,캔,355,대한민국,회사,,4897036692073
"한국코카콜라(유), 코카-콜라음료(주), 해태htb(주)",몬스터 에너지 울트라 파라다이스,에너지음료,캔,355,대한민국,회사,,4897036692721
롯데칠성음료(주),핫식스,에너지음료,캔,250,대한민국,NOT,,8801056038861
롯데칠성음료(주),핫식스 제로,에너지음료,캔,250,대한민국,NOT,,8801056234065
롯데칠성음료(주),핫식스 더킹 포스,에너지음료,캔,355,대한민국,NOT,,8801056171032
롯데칠성음료(주),핫식스 더킹 크러쉬 피치,에너지음료,캔,355,대한민국,NOT,,8801056234423
롯데칠성음료(주),핫식스 더킹 파워,에너지음료,캔,355,대한민국,NOT,,8801056098834
롯데칠성음료(주),에비앙 천연광천수,먹는샘물,패트,500,프랑스,나라,,3068320024400
한국청정음료(주),몽베스트,먹는샘물,패트,330,대한민국,NOT,,8803186200163
한국청정음료(주),몽베스트,먹는샘물,패트,330*6,대한민국,NOT,,8803186000121
"한국코카콜라(유), 코카-콜라음료(주)",태양의 원차 주전자차 옥수수,액상차,패트,500,대한민국,회사,,8801094342630
롯데칠성음료(주),립톤 아이스티 복숭아,액상차,캔,355,대한민국,NOT,,8801056044503
롯데칠성음료(주),상쾌한 시작 아침헛개,액상차,패트,500,대한민국,NOT,,8801056051099
롯데칠성음료(주),더하다 보리차 플러스,액상차,패트,500,대한민국,NOT,,8801056227517
롯데칠성음료(주),더하다 옥수수수염차 플러스,액상차,패트,500,대한민국,NOT,,8801056227371
롯데칠성음료(주),더하다 우엉차 플러스,액상차,패트,500,대한민국,NOT,,8801056227555
롯데칠성음료(주),오늘의차 초가을 우엉차,액상차,패트,500,대한민국,NOT,,8801056076542
롯데칠성음료(주),흑미 숭늉차 까늉,액상차,패트,500,대한민국,NOT,,8801056176983
(주)동원F&B,보성홍차 아이스티 제로 레몬차,액상차,패트,500,대한민국,NOT,,8801047284499
(주)동원F&B,보성홍차 아이스티 제로 복숭아차,액상차,패트,500,대한민국,NOT,,8801047284482
"(주)와우에프앤비, (주)웰그린",레몬녹차 제로,액상차,패트,500,대한민국,NOT,,8809809700645
(주)광동제약,비앙떼 허니유자캐모마일,액상차,패트,500,대한민국,NOT,,8306002022352
(주)광동제약,비앙떼 허니자몽블랙티,액상차,패트,500,대한민국,NOT,,8806002022369
"(주)광동제약, (주)삼양패키징광혜원공장",진한 헛개차,액상차,패트,340,대한민국,NOT,,8806002009094
"(주)광동제약, (주)삼양패키징광혜원공장",진한 헛개차,액상차,패트,1500,대한민국,NOT,,8806002009391
"(주)웅진식품, (주)삼양패키징광혜원공장",하늘보리,액상차,패트,500,대한민국,NOT,,8801382124849
"동서식품(주), 동원시스템즈(주)",동서 보리차,액상차,패트,500,대한민국,NOT,,8801037094039
"동서식품(주), 동원시스템즈(주)",동서 옥수수차,액상차,패트,500,대한민국,NOT,,8801037094046
